StartTime: 2020-09-24 17:40:40.285
address	Time(s)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 17:40:59.388	1.2207	36.2549	8.7891	-8.7451	-9.3329	66.6321	0.00
0x50	 17:40:59.398	1.2207	36.2549	8.7891	-8.9703	-8.6462	66.6870	0.00
0x50	 17:40:59.453	3.1738	25.2686	-3.4790	-8.9978	-8.2617	66.7419	0.00
0x50	 17:40:59.453	3.1738	25.2686	-3.4790	-8.9978	-7.9486	66.7365	0.00
0x50	 17:40:59.453	17.3950	18.4937	-3.6011	-8.9703	-7.7014	66.6760	0.00
0x50	 17:40:59.453	17.3950	18.4937	-3.6011	-8.8770	-7.4872	66.6156	0.00
0x50	 17:40:59.453	22.7661	59.9365	-2.7466	-8.7067	-7.3114	66.5662	0.00
0x50	 17:40:59.457	22.7661	59.9365	-2.7466	-8.5199	-6.9434	66.4948	0.00
0x50	 17:40:59.467	41.5649	122.8638	-15.3809	-8.3057	-6.3885	66.4014	0.00
0x50	 17:40:59.477	41.5649	122.8638	-15.3809	-8.0145	-5.5206	66.2146	0.00
0x50	 17:40:59.487	36.5601	107.0557	-23.4985	-7.6465	-4.3561	65.9454	0.00
0x50	 17:40:59.497	36.5601	107.0557	-23.4985	-7.3059	-3.2355	65.6433	0.00
0x50	 17:40:59.507	111.5112	-88.4399	-38.6963	-6.9928	-2.1698	65.3137	0.00
0x50	 17:40:59.517	111.5112	-88.4399	-38.6963	-6.3062	-2.0654	65.0171	0.00
0x50	 17:40:59.526	186.8896	-211.5479	-18.0664	-5.2350	-2.9114	64.7369	0.00
0x50	 17:40:59.537	186.8896	-211.5479	-18.0664	-3.7958	-4.3616	64.5886	0.00
0x50	 17:40:59.546	268.1274	-330.8716	-41.1377	-1.9995	-6.4105	64.5447	0.00
0x50	 17:40:59.556	268.1274	-330.8716	-41.1377	0.2307	-9.0472	64.3140	0.00
0x50	 17:40:59.567	283.1421	-392.1509	-47.6074	2.9224	-12.2388	63.8306	0.00
0x50	 17:40:59.576	283.1421	-392.1509	-47.6074	5.7678	-15.7159	63.1274	0.00
0x50	 17:40:59.589	201.5991	-409.1797	-22.8271	8.8165	-19.4568	62.1497	0.00
0x50	 17:40:59.596	201.5991	-409.1797	-22.8271	11.6071	-23.2141	61.0126	0.00
0x50	 17:40:59.644	172.4243	-396.7896	-12.2681	14.1669	-26.9879	59.7217	0.00
0x50	 17:40:59.644	172.4243	-396.7896	-12.2681	16.7596	-30.7288	58.2605	0.00
0x50	 17:40:59.644	101.8066	-303.5889	-22.5830	19.4238	-34.4312	56.6125	0.00
0x50	 17:40:59.644	101.8066	-303.5889	-22.5830	21.9781	-37.6886	54.7888	0.00
0x50	 17:40:59.646	61.4014	-173.8281	-33.5693	24.4006	-40.5066	52.8333	0.00
0x50	 17:40:59.656	61.4014	-173.8281	-33.5693	26.6418	-42.6544	50.9601	0.00
0x50	 17:40:59.666	61.4014	-173.8281	-33.5693	28.6084	-44.1541	49.2517	0.00
0x50	 17:40:59.676	34.1797	26.8555	15.3809	30.6793	-45.6042	47.4335	0.00
0x50	 17:40:59.686	34.1797	26.8555	15.3809	31.0693	-45.5438	47.6093	0.00
0x50	 17:40:59.696	-35.5225	113.6475	85.8765	31.4539	-45.4834	47.7850	0.00
0x50	 17:40:59.706	-35.5225	113.6475	85.8765	30.2014	-45.0000	49.3890	0.00
0x50	 17:40:59.716	-96.1304	192.1997	89.4165	28.9874	-44.5001	50.9491	0.00
0x50	 17:40:59.726	-96.1304	192.1997	89.4165	26.6693	-43.3191	53.1079	0.00
0x50	 17:40:59.736	-106.0791	209.7168	51.2695	24.4666	-42.0886	55.1459	0.00
0x50	 17:40:59.746	-106.0791	209.7168	51.2695	22.4231	-40.4846	56.7609	0.00
0x50	 17:40:59.756	-129.9438	305.7251	55.7251	20.4950	-38.8531	58.2550	0.00
0x50	 17:40:59.766	-129.9438	305.7251	55.7251	18.2153	-36.1395	60.0403	0.00
0x50	 17:40:59.775	-170.1050	448.0591	145.1416	16.1224	-33.3929	61.6333	0.00
0x50	 17:40:59.790	-170.1050	448.0591	145.1416	13.0573	-29.4983	64.4788	0.00
0x50	 17:40:59.798	-357.7271	583.6182	78.4302	10.3326	-25.5048	66.9836	0.00
0x50	 17:40:59.834	-357.7271	583.6182	78.4302	6.0699	-19.7314	68.7030	0.00
0x50	 17:40:59.834	-228.2104	323.1201	89.5386	2.1368	-13.8977	69.9225	0.00
0x50	 17:40:59.834	-228.2104	323.1201	89.5386	-0.4504	-10.5139	70.9442	0.00
0x50	 17:40:59.835	-178.2837	197.3877	129.8218	-2.9443	-7.1027	71.7902	0.00
0x50	 17:40:59.845	-178.2837	197.3877	129.8218	-4.9768	-4.9493	73.0426	0.00
0x50	 17:40:59.855	-140.0146	137.5122	77.5757	-6.9434	-2.7631	74.1962	0.00
0x50	 17:40:59.865	-140.0146	137.5122	77.5757	-8.5144	-1.2744	74.8773	0.00
0x50	 17:40:59.875	35.7056	-26.3062	-54.7485	-10.0580	0.2197	75.5035	0.00
0x50	 17:40:59.886	35.7056	-26.3062	-54.7485	-9.8767	-0.1099	75.1190	0.00
0x50	 17:40:59.895	203.5522	-254.5166	-120.8496	-9.6954	-0.4395	74.7345	0.00
0x50	 17:40:59.905	203.5522	-254.5166	-120.8496	-7.8497	-3.0597	74.0698	0.00
0x50	 17:40:59.915	243.5303	-421.5088	-174.3164	-5.9711	-5.6470	73.3282	0.00
0x50	 17:40:59.926	243.5303	-421.5088	-174.3164	-3.5925	-9.8767	72.1088	0.00
0x50	 17:40:59.935	174.1333	-521.3623	-251.1597	-1.0931	-14.0240	70.7135	0.00
0x50	 17:40:59.945	174.1333	-521.3623	-251.1597	1.1700	-19.0558	68.2526	0.00
0x50	 17:40:59.955	185.6689	-651.0010	-289.6729	3.7354	-23.9667	65.5170	0.00
0x50	 17:40:59.965	185.6689	-651.0010	-289.6729	7.3718	-29.8334	61.4630	0.00
0x50	 17:40:59.975	311.7065	-703.6743	-245.9106	11.7334	-35.4034	56.6620	0.00
0x50	 17:40:59.985	311.7065	-703.6743	-245.9106	18.4460	-41.3141	51.0699	0.00
0x50	 17:40:59.996	631.5308	-344.6655	-84.2285	26.5814	-46.5820	43.9618	0.00
0x50	 17:41:00.006	631.5308	-344.6655	-84.2285	36.3593	-49.0704	39.9408	0.00
0x50	 17:41:00.015	46.6309	-136.0474	-42.2974	46.8237	-51.0754	35.0684	0.00
0x50	 17:41:00.024	46.6309	-136.0474	-42.2974	49.5538	-51.5479	32.6624	0.00
0x50	 17:41:00.034	-226.5015	90.5151	114.2578	52.3389	-51.9653	30.1740	0.00
0x50	 17:41:00.079	-226.5015	90.5151	114.2578	48.6145	-52.2125	32.2229	0.00
0x50	 17:41:00.079	-49.6216	126.7090	43.6401	44.8737	-52.3773	34.2828	0.00
0x50	 17:41:00.079	-49.6216	126.7090	43.6401	43.0115	-51.8060	36.0846	0.00
0x50	 17:41:00.079	-46.6309	220.3369	90.6982	41.2152	-51.2018	37.8204	0.00
0x50	 17:41:00.084	-46.6309	220.3369	90.6982	38.5895	-50.0317	40.8252	0.00
0x50	 17:41:00.094	-92.2241	311.0352	132.8735	36.1395	-48.7903	43.6542	0.00
0x50	 17:41:00.104	-92.2241	311.0352	132.8735	32.3383	-46.9830	47.6697	0.00
0x50	 17:41:00.115	-137.9395	439.8193	150.7568	28.8776	-45.0165	51.3611	0.00
0x50	 17:41:00.124	-137.9395	439.8193	150.7568	24.6039	-41.8359	55.7227	0.00
0x50	 17:41:00.134	-208.7402	590.6982	173.3398	20.8795	-38.4631	59.5624	0.00
0x50	 17:41:00.144	-208.7402	590.6982	173.3398	16.4191	-33.5083	63.7701	0.00
0x50	 17:41:00.154	-328.5522	642.0288	134.4604	12.6398	-28.3502	67.3022	0.00
0x50	 17:41:00.164	-328.5522	642.0288	134.4604	8.0475	-22.3077	70.1312	0.00
0x50	 17:41:00.174	-511.9629	632.0190	29.3579	3.9551	-16.1279	72.3175	0.00
0x50	 17:41:00.184	-511.9629	632.0190	29.3579	-1.4172	-9.6899	72.8833	0.00
0x50	 17:41:00.196	-278.3203	224.9756	-32.0435	-6.6302	-3.2684	72.8064	0.00
0x50	 17:41:00.204	-278.3203	224.9756	-32.0435	-9.6075	-1.0217	72.3615	0.00
0x50	 17:41:00.213	-75.0122	23.1934	-3.8452	-12.5848	1.1810	71.7792	0.00
0x50	 17:41:00.224	-75.0122	23.1934	-3.8452	-13.5352	1.4117	71.8341	0.00
0x50	 17:41:00.273	16.4795	66.5894	-47.4854	-14.4855	1.6425	71.8726	0.00
0x50	 17:41:00.273	16.4795	66.5894	-47.4854	-14.5349	2.1368	71.3672	0.00
0x50	 17:41:00.273	80.6885	16.9067	-137.0239	-14.5953	2.6312	70.8508	0.00
0x50	 17:41:00.273	80.6885	16.9067	-137.0239	-13.9966	2.4719	69.5599	0.00
0x50	 17:41:00.273	105.2856	-108.6426	-167.9077	-13.3923	2.3291	68.2635	0.00
0x50	 17:41:00.283	105.2856	-108.6426	-167.9077	-12.5244	0.9613	66.9397	0.00
0x50	 17:41:00.293	114.8682	-301.5747	-166.0156	-11.6235	-0.3680	65.6049	0.00
0x50	 17:41:00.303	114.8682	-301.5747	-166.0156	-10.5359	-3.4991	64.5776	0.00
0x50	 17:41:00.313	195.3125	-469.5435	-185.2417	-9.3878	-6.5973	63.4845	0.00
